home,away,kickOffTime,leagueName,odds_1,odds_x,odds_2
Ind.Juniors,Chacaritas FC,2024-06-09 22:30:00,ECUADOR 2,1.55,3.7,5.2
Real Madrid,Barcelona,2024-06-09 22:30:00,PERU 2,2.85,3.50,3.00
CA Cerro,Nacional,2024-06-09 23:00:00,URUGUAY 1,5.5,3.65,1.58
Grenada,Costa Rica,2024-06-09 23:00:00,WC Qual.2026 N&C America,17.0,7.2,1.12
Barbados,Haiti,2024-06-09 23:00:00,WC Qual.2026 N&C America,29.0,11.5,1.03
America MG,Ponte Preta,2024-06-09 23:30:00,BRAZIL 2,1.42,4.0,7.0
Maringa FC,Inter de Limeira,2024-06-09 23:30:00,BRAZIL 4,2.1,3.0,3.35
Palmeiras Wom.,Corinthians W,2024-06-09 23:30:00,BRAZIL Brasilero Women,4.0,3.9,1.65
Nautico,SER Caxias,2024-06-10 00:00:00,BRAZIL 3,1.85,3.25,3.8
Remo,Sao Bernardo,2024-06-10 00:00:00,BRAZIL 3,2.6,2.9,2.65
York Utd,Vancouver FC,2024-06-10 00:00:00,CANADA 1,2.25,3.35,2.7
Atenas,Montevideo City,2024-06-10 00:00:00,URUGUAY 2,4.8,3.15,1.68
Kansas City Current W,Seattle Reign Wom.,2024-06-10 00:00:00,USA NWSL Women,1.4,4.1,6.7
Long Island,Hudson Valley,2024-06-10 00:00:00,USA USL League Two,1.88,3.8,3.15
Weston,Sarasota Paradise,2024-06-10 00:30:00,USA USL League Two,2.12,3.3,2.95
Argentina,Ecuador,2024-06-10 01:00:00,WORLD Friendly International,1.5,3.8,6.4
Leones del Norte,Gualaceo,2024-06-10 01:00:00,ECUADOR 2,2.25,2.85,3.15
NY Red Bulls 2,Toronto FC II,2024-06-10 01:00:00,USA MLS Next Pro,1.85,4.1,3.1
Birmingham,Indy Eleven,2024-06-10 01:00:00,USA USL,1.98,3.45,3.2
Bermuda,Honduras,2024-06-10 01:00:00,WC Qual.2026 N&C America,12.0,6.25,1.18
La Luz,Plaza Colonia,2024-06-10 01:30:00,URUGUAY 2,2.9,2.9,2.3
Tormenta,Greenville,2024-06-10 01:30:00,USA USL League One Cup,2.4,3.45,2.65
Minnesota 2,North Texas,2024-06-10 02:00:00,USA MLS Next Pro,2.55,3.45,2.35
