home,away,kickOffTime,leagueName,odds_1,odds_x,odds_2
ADA Jaen,Juan Pablo II,2024-06-09 22:30:00,Liga 2,2.52,3.45,2.35
Ind. Juniors,Chacaritas,2024-06-09 22:30:00,Serie B,1.57,3.5,5.3
Barbados,Haiti,2024-06-09 23:00:00, WC North & Central America Qualification,29.0,12.0,1.03
Grenada,Costa Rica,2024-06-09 23:00:00, WC North & Central America Qualification,17.0,7.2,1.12
CA Cerro,Nacional,2024-06-09 23:00:00,Primera Division,5.7,4.0,1.55
America MG,Ponte Preta,2024-06-09 23:30:00,Serie B,1.43,4.25,7.25
Maringa FC,Inter de Limeira,2024-06-09 23:30:00,Serie D,2.01,3.05,3.5
Palmeiras W,Corinthians W,2024-06-09 23:30:00,Brasileiro Women,4.1,3.85,1.65
Long Island,Hudson Valley,2024-06-10 00:00:00,USL League Two,1.88,4.0,3.05
Kansas City W,Reign W,2024-06-10 00:00:00,NWSL,1.38,4.5,6.2
Nautico,Caxias,2024-06-10 00:00:00,Serie C,1.87,3.2,4.1
Remo,Sao Bernardo,2024-06-10 00:00:00,Serie C,2.62,2.95,2.7
York Utd,Vancouver,2024-06-10 00:00:00,Premier League,2.27,3.35,2.7
Atenas,Montevideo City,2024-06-10 00:00:00,Segunda Division,4.6,3.35,1.73
Weston,Sarasota Paradise,2024-06-10 00:30:00,USL League Two,2.13,3.4,2.9
Democrata SL,Itabuna,2024-06-10 00:30:00,Serie D,3.35,3.2,2.0
Argentina,Ecuador,2024-06-10 01:00:00,Friendly International,1.5,3.8,7.0
Bermuda,Honduras,2024-06-10 01:00:00, WC North & Central America Qualification,12.0,6.5,1.17
Birmingham,Indy Eleven,2024-06-10 01:00:00,USL Championship,2.03,3.4,3.3
NY Red Bulls II,Toronto FC II,2024-06-10 01:00:00,MLS Next Pro,1.85,4.1,3.1
Leones Del Norte,Gualaceo,2024-06-10 01:00:00,Serie B,2.3,2.85,3.05
La Luz,Plaza Colonia,2024-06-10 01:30:00,Segunda Division,3.25,2.8,2.25
Minnesota II,North Texas,2024-06-10 02:00:00,MLS Next Pro,2.52,3.55,2.32
Portland Timbers II,Ventura County,2024-06-10 02:00:00,MLS Next Pro,2.45,3.75,2.3
Montserrat,Panama,2024-06-10 03:00:00, WC North & Central America Qualification,30.0,13.0,1.02
Vancouver II,Los Angeles FC II,2024-06-10 03:00:00,MLS Next Pro,2.5,3.6,2.33
Arizona Monsoon,Capo,2024-06-10 03:00:00,NISA,2.55,3.5,2.33
Birmingham 2,Athens United,2024-06-10 03:30:00,USL League Two,2.25,3.25,2.8
Irvine Zeta,LA Force,2024-06-10 04:00:00,NISA,2.25,3.2,2.85
Oakleigh,Dandenong City,2024-06-10 07:00:00,NPL Victoria,1.27,5.7,8.0
Czech Rep.,Macedonia,2024-06-10 18:00:00,Friendly International,1.47,4.15,6.9
Benin,Nigeria,2024-06-10 18:00:00,WC Africa Qualification,4.85,3.15,1.83
Guinea Bissau,Egypt,2024-06-10 18:00:00,WC Africa Qualification,4.8,3.3,1.8
Valerenga 2,Follo,2024-06-10 19:00:00,Division 2,3.6,4.7,1.61
Balkan,IFK Hassleholm,2024-06-10 19:00:00,Division 2- Sodra Gotaland,1.61,3.9,4.4
Netherlands,Iceland,2024-06-10 20:45:00,Friendly International,1.17,6.8,14.0
Poland,Turkey,2024-06-10 20:45:00,Friendly International,2.35,3.3,2.95
Ghana,Central Africa,2024-06-10 21:00:00,WC Africa Qualification,1.3,4.75,11.0
Vila Nova FC,Ceara,2024-06-11 00:00:00,Serie B,2.35,3.0,3.2
CSA,EC Sao Jose,2024-06-11 01:00:00,Serie C,2.47,3.1,2.78
Floresta EC,Confianca,2024-06-11 01:00:00,Serie C,2.27,2.95,3.2
Ypiranga,Tombense,2024-06-11 01:00:00,Serie C,2.15,3.1,3.3
Atl. Rafaela,Estudiantes L.P.,2024-06-11 02:10:00,Primera Nacional,2.72,2.78,2.95
Sport Recife,Paysandu,2024-06-11 02:30:00,Serie B,1.55,3.95,5.9
Japan,Syria,2024-06-11 12:14:00, WC Asia Qualification,1.08,8.75,19.0
South Korea,China,2024-06-11 13:00:00, WC Asia Qualification,1.19,6.0,12.0
Azerbaijan,Kazakhstan,2024-06-11 16:00:00,Friendly International,2.3,3.05,3.25
PK-35,JaPS,2024-06-11 17:30:00,Ykkosliiga,1.7,3.95,4.4
Malta,Greece,2024-06-11 18:00:00,Friendly International,8.5,5.25,1.32
Rampla Juniors,Boston River,2024-06-11 20:00:00,Primera Division,3.2,3.3,2.2
Portugal,Ireland,2024-06-11 20:45:00,Friendly International,1.27,6.0,9.0
Atletico GO,Corinthians,2024-06-12 00:00:00,Serie A,2.65,3.0,2.9
Juventude,Vitoria BA,2024-06-12 00:00:00,Serie A,1.97,3.3,4.0
Mirassol,Goias,2024-06-12 00:00:00,Serie B,2.25,3.0,3.45
Botafogo,Fluminense,2024-06-12 01:00:00,Serie A,2.03,3.4,3.7
Chile,Paraguay,2024-06-12 02:00:00,Friendly International,1.85,3.35,4.35
Bragantino,Atletico MG,2024-06-12 02:30:00,Serie A,2.47,3.3,2.85
AC Oulu,Lahti,2024-06-12 17:00:00,Veikkausliiga,1.72,3.75,4.75
Inter Turku,Ilves,2024-06-12 17:00:00,Veikkausliiga,3.4,3.65,2.03
KuPS,Haka,2024-06-12 17:00:00,Veikkausliiga,1.55,4.15,5.75
Mariehamn,VPS,2024-06-12 17:00:00,Veikkausliiga,4.1,3.55,1.87
SJK,Ekenas,2024-06-12 17:00:00,Veikkausliiga,1.38,4.95,7.5
Jaro,SJK Akatemia,2024-06-12 17:30:00,Ykkosliiga,1.65,3.95,4.75
KTP,JIPPO,2024-06-12 17:30:00,Ykkosliiga,1.63,4.05,4.7
Mikkeli,TPS,2024-06-12 17:30:00,Ykkosliiga,5.1,3.95,1.62
Salpa,KaPa,2024-06-12 17:30:00,Ykkosliiga,1.72,3.95,4.3
Gnistan,HJK,2024-06-12 18:00:00,Veikkausliiga,5.0,3.85,1.67
Stabaek,Mjondalen,2024-06-12 19:00:00,OBOS Ligaen,1.6,4.4,4.55
Gimnasia Jujuy,Chacarita,2024-06-12 20:10:00,Primera Nacional,2.32,2.85,3.45
Godoy Cruz,Rosario,2024-06-12 22:00:00, Liga Profesional,2.18,3.05,3.7
Argentinos Jrs,Cent. Cordoba,2024-06-13 00:00:00, Liga Profesional,1.48,4.25,6.8
USA,Brazil,2024-06-13 01:00:00,Friendly International,5.45,4.4,1.52
Gimnasia L.P.,Barracas Cent.,2024-06-13 02:15:00, Liga Profesional,1.73,3.45,5.25
Independiente,Banfield,2024-06-13 02:15:00, Liga Profesional,2.15,3.05,3.8
Future FC,El Gouna,2024-06-13 18:00:00,Premier League,1.93,3.15,4.2
Dep. Riestra,River Plate,2024-06-13 20:00:00, Liga Profesional,8.5,4.55,1.38
Bohemians,Derry City,2024-06-13 20:45:00,Premier Division,3.95,3.3,1.95
Dundalk,Sligo Rovers,2024-06-13 20:45:00,Premier Division,1.88,3.3,4.15
Galway,Drogheda,2024-06-13 20:45:00,Premier Division,1.7,3.5,5.2
St. Patricks,Shamrock,2024-06-13 20:45:00,Premier Division,3.9,3.5,1.9
Waterford,Shelbourne,2024-06-13 20:45:00,Premier Division,3.25,3.05,2.3
Bray,Athlone,2024-06-13 20:45:00, Division 1,2.15,3.25,3.2
Cork City,Cobh Ramblers,2024-06-13 20:45:00, Division 1,1.4,4.15,7.6
Finn Harps,UCD,2024-06-13 20:45:00, Division 1,2.75,3.05,2.52
Kerry,Longford,2024-06-13 20:45:00, Division 1,2.37,3.15,2.85
Wexford,Treaty United,2024-06-13 20:45:00, Division 1,1.8,3.5,4.0
Sarmiento,Estudiantes L.P.,2024-06-14 00:00:00, Liga Profesional,4.45,3.15,1.92
Tigre,Belgrano,2024-06-14 00:00:00, Liga Profesional,2.7,3.05,2.75
Cruzeiro,Cuiaba,2024-06-14 00:00:00,Serie A,1.57,3.75,6.5
Atletico PR,Criciuma,2024-06-14 01:00:00,Serie A,1.52,4.1,6.4
Flamengo RJ,Gremio,2024-06-14 01:00:00,Serie A,1.47,4.4,6.6
Internacional,Sao Paulo,2024-06-14 01:00:00,Serie A,2.9,3.05,2.6
Lanus,Racing Club,2024-06-14 02:15:00, Liga Profesional,3.3,3.2,2.27
Newells,Instituto,2024-06-14 02:15:00, Liga Profesional,2.05,3.1,4.05
Bahia,Fortaleza,2024-06-14 02:30:00,Serie A,1.95,3.45,3.95
Palmeiras,Vasco,2024-06-14 02:30:00,Serie A,1.42,4.45,7.7
Meizhou Hakka,Shandong Taishan,2024-06-14 13:35:00,Super League,5.8,4.1,1.48
Nantong Zhiyun,Shenzhen Xinpengcheng,2024-06-14 14:00:00,Super League,2.55,3.25,2.57
Tianjin Tigers,Shanghai Port,2024-06-14 14:00:00,Super League,6.2,4.8,1.38
C. Cleopatra,Zamalek,2024-06-14 18:00:00,Premier League,3.3,3.25,2.15
Pharco,Al Ahly,2024-06-14 18:00:00,Premier League,6.5,3.95,1.5
Orgryte,Sundsvall,2024-06-14 19:00:00,Superettan,1.88,3.75,3.85
Germany,Scotland,2024-06-14 21:00:00,Euro 2024,1.3,5.8,11.0
Talleres,Platense,2024-06-15 00:00:00, Liga Profesional,1.73,3.45,5.2
Boca Juniors,Velez,2024-06-15 00:00:00, Liga Profesional,1.95,3.25,4.15
New York City,Columbus,2024-06-15 01:30:00,MLS,2.15,3.5,3.25
Yokohama Marinos,Machida,2024-06-15 09:00:00,J1 League,2.65,3.6,2.42
Pohang,Daejeon,2024-06-15 11:00:00, K League 1,1.8,3.6,4.45
Fujieda MYFC,Yokohama,2024-06-15 11:00:00,J2 League,4.45,3.7,1.7
Hiroshima,Verdy,2024-06-15 11:30:00,J1 League,1.57,4.0,5.4
Cerezo Osaka,Urawa RD,2024-06-15 12:00:00,J1 League,2.7,3.2,2.57
Kyoto,Sapporo,2024-06-15 12:00:00,J1 League,2.4,3.3,2.85
Gwangju FC,Sangju,2024-06-15 12:00:00, K League 1,2.23,3.25,3.3
Gyeongnam,Suwon Bluewings,2024-06-15 12:00:00, K League 2,3.35,3.25,2.15
Jeonnam,Bucheon 1995,2024-06-15 12:00:00, K League 2,2.23,3.2,3.2
Kagoshima Utd,Yamagata,2024-06-15 12:00:00,J2 League,2.65,3.2,2.52
Seongnam,Anyang,2024-06-15 12:30:00, K League 2,2.78,3.1,2.55
Gangwon,Suwon City,2024-06-15 13:00:00, K League 1,2.25,3.4,3.15
Zhejiang Prof.,Changchun Yatai,2024-06-15 13:35:00,Super League,1.43,4.5,5.9
Henan SL,Beijing Guoan,2024-06-15 14:00:00,Super League,3.05,3.5,2.1
Gefle,Landskrona,2024-06-15 15:00:00,Superettan,3.2,3.5,2.15
Skovde AIK,Degerfors,2024-06-15 15:00:00,Superettan,4.1,3.7,1.85
Utsiktens,Varberg,2024-06-15 15:00:00,Superettan,1.87,3.7,3.95
Hungary,Switzerland,2024-06-15 15:00:00,Euro 2024,3.65,3.2,2.23
Spain,Croatia,2024-06-15 18:00:00,Euro 2024,1.9,3.5,4.25
Union Santa Fe,San Lorenzo,2024-06-15 21:00:00, Liga Profesional,2.23,2.9,3.7
Italy,Albania,2024-06-15 21:00:00,Euro 2024,1.4,4.65,8.75
Huracan,Ind. Rivadavia,2024-06-15 23:00:00, Liga Profesional,1.6,3.6,6.4
Atlanta Utd,Houston,2024-06-16 01:30:00,MLS,2.03,3.75,3.35
Charlotte Ind.,DC United,2024-06-16 01:30:00,MLS,2.07,3.6,3.4
Montreal,Salt Lake,2024-06-16 01:30:00,MLS,3.3,3.75,2.05
New England,Vancouver,2024-06-16 01:30:00,MLS,2.45,3.6,2.68
New York RB,Nashville,2024-06-16 01:30:00,MLS,1.72,3.85,4.65
Orlando,Los Angeles FC,2024-06-16 01:30:00,MLS,2.5,3.45,2.72
Philadelphia,Inter Miami,2024-06-16 01:30:00,MLS,2.05,3.95,3.15
Toronto,Chicago,2024-06-16 01:30:00,MLS,1.88,3.7,3.95
Atl. Tucuman,Def. Justicia,2024-06-16 01:30:00, Liga Profesional,2.07,3.15,3.9
Dallas,St. Louis City,2024-06-16 02:30:00,MLS,2.3,3.4,3.05
Colorado,Austin,2024-06-16 03:30:00,MLS,1.65,4.5,4.33
LA Galaxy,Sporting KC,2024-06-16 04:30:00,MLS,1.67,4.55,4.2
San Jose,Cincinnati,2024-06-16 04:30:00,MLS,2.7,3.65,2.42
Seattle,Minnesota Utd,2024-06-16 04:30:00,MLS,1.7,4.0,4.5
Vissel Kobe,Kawasaki,2024-06-16 07:00:00,J1 League,1.87,3.55,3.95
Fukuoka,Sagan Tosu,2024-06-16 08:30:00,J1 League,1.93,3.35,3.95
Iwaki,Kofu,2024-06-16 09:00:00,J2 League,2.15,3.35,3.05
Mito,Blaublitz,2024-06-16 10:00:00,J2 League,2.57,2.9,2.8
Gamba Osaka,Kashiwa,2024-06-16 11:00:00,J1 League,2.28,3.15,3.2
Kashima,Niigata,2024-06-16 11:00:00,J1 League,1.85,3.45,4.15
Nagoya,Shonan,2024-06-16 11:00:00,J1 League,2.0,3.3,3.75
Tokyo,Iwata,2024-06-16 11:00:00,J1 League,2.12,3.25,3.4
Jeonbuk,Incheon,2024-06-16 11:00:00, K League 1,2.23,3.35,3.25
Ulsan Hyundai,Seoul,2024-06-16 11:00:00, K League 1,1.8,3.8,4.25
Ehime,Shimizu,2024-06-16 11:00:00,J2 League,5.5,4.45,1.47
Kumamoto,Okayama,2024-06-16 11:00:00,J2 League,2.75,3.1,2.47
Oita,Tochigi,2024-06-16 11:00:00,J2 League,1.97,3.25,3.6
Sendai,Nagasaki,2024-06-16 11:00:00,J2 League,2.63,3.1,2.57
Kusatsu,Yamaguchi,2024-06-16 11:30:00,J2 League,3.8,3.1,1.97
Daegu,Jeju Utd,2024-06-16 12:00:00, K League 1,2.18,3.25,3.4
Asan,Busan,2024-06-16 12:00:00, K League 2,3.05,3.15,2.35
Cheongju,Cheonan City,2024-06-16 12:00:00, K League 2,2.15,3.1,3.55
Gimpo FC,Ansan Greeners,2024-06-16 12:00:00, K League 2,2.1,3.2,3.55
Chiba,Tokushima,2024-06-16 12:00:00,J2 League,1.72,3.7,4.25
Cangzhou,Qingdao Hainiu,2024-06-16 13:00:00,Super League,2.47,3.45,2.55
Shanghai Shenhua,Chengdu Ron.,2024-06-16 13:35:00,Super League,1.92,3.45,3.6
Qingdao West Coast,Wuhan TT,2024-06-16 14:00:00,Super League,3.55,3.5,1.92
Helsingborg,Orebro,2024-06-16 15:00:00,Superettan,2.1,3.3,3.6
Oster,Ostersund,2024-06-16 15:00:00,Superettan,1.55,4.2,5.6
Poland,Netherlands,2024-06-16 15:00:00,Euro 2024,5.2,4.0,1.67
Sandviken,Oddevold,2024-06-16 17:00:00,Superettan,2.05,3.35,3.7
Slovenia,Denmark,2024-06-16 18:00:00,Euro 2024,5.2,3.75,1.73
Serbia,England,2024-06-16 21:00:00,Euro 2024,7.7,4.6,1.45
Romania,Ukraine,2024-06-17 15:00:00,Euro 2024,3.8,3.45,2.05
Belgium,Slovakia,2024-06-17 18:00:00,Euro 2024,1.48,4.55,6.8
Trelleborgs,Brage,2024-06-17 19:00:00,Superettan,3.1,3.35,2.28
Austria,France,2024-06-17 21:00:00,Euro 2024,6.1,4.55,1.52
Turkey,Georgia,2024-06-18 18:00:00,Euro 2024,1.8,3.55,4.95
Portugal,Czech Rep.,2024-06-18 21:00:00,Euro 2024,1.52,4.4,6.3
Croatia,Albania,2024-06-19 15:00:00,Euro 2024,1.5,4.1,6.5
Germany,Hungary,2024-06-19 18:00:00,Euro 2024,1.37,4.9,8.75
Scotland,Switzerland,2024-06-19 21:00:00,Euro 2024,3.7,3.4,2.03
Slovenia,Serbia,2024-06-20 15:00:00,Euro 2024,4.0,3.45,1.92
Denmark,England,2024-06-20 18:00:00,Euro 2024,5.4,3.95,1.6
Spain,Italy,2024-06-20 21:00:00,Euro 2024,2.23,3.2,3.3
Argentina,Canada,2024-06-21 02:00:00,Copa America 2024,1.37,4.7,8.0
Slovakia,Ukraine,2024-06-21 15:00:00,Euro 2024,3.6,3.3,2.07
Poland,Austria,2024-06-21 18:00:00,Euro 2024,3.6,3.5,2.0
Netherlands,France,2024-06-21 21:00:00,Euro 2024,3.8,3.65,1.92
Peru,Chile,2024-06-22 02:00:00,Copa America 2024,3.85,3.25,2.03
Georgia,Czech Rep.,2024-06-22 15:00:00,Euro 2024,4.75,3.55,1.72
Turkey,Portugal,2024-06-22 18:00:00,Euro 2024,5.7,4.15,1.55
Belgium,Romania,2024-06-22 21:00:00,Euro 2024,1.48,4.4,6.4
Ecuador,Venezuela,2024-06-23 00:00:00,Copa America 2024,1.8,3.4,4.7
