home,away,dateTime,odds_1,odds_x,odds_2
Ind. Juniors,Chacaritas,2024-06-09 22:30:00,1.6,3.55,5.5
Grenada,Costa Rica,2024-06-09 23:00:00,20.0,8.25,1.14
Barbados,Haiti,2024-06-09 23:00:00,40.0,15.0,1.05
CA Cerro,Nacional De Football,2024-06-09 23:00:00,5.7,3.7,1.6
America MG,Ponte Preta,2024-06-09 23:30:00,1.45,4.1,7.3
Maringa FC,Inter de Limeira,2024-06-09 23:30:00,2.11,3.1,3.55
Nautico,SER Caxias,2024-06-10 00:00:00,1.9,3.25,4.1
Remo,Sao Bernardo,2024-06-10 00:00:00,2.66,3.0,2.7
York Utd,Vancouver FC,2024-06-10 00:00:00,2.28,3.5,2.92
Atenas,Montevideo City,2024-06-10 00:00:00,5.2,3.25,1.69
Kansas City Current W,Seattle Reign Wom.,2024-06-10 00:00:00,1.41,4.05,6.4
Democrata SL,Itabuna,2024-06-10 00:30:00,3.35,3.2,2.14
Argentina,Ecuador,2024-06-10 01:00:00,1.5,4.15,7.1
Bermuda,Honduras,2024-06-10 01:00:00,14.0,7.3,1.19
Leones Del Norte,Gualaceo,2024-06-10 01:00:00,2.36,2.9,3.1
Birmingham Legion FC,Indy Eleven,2024-06-10 01:00:00,1.93,3.55,3.65
New York Red Bulls 2,Toronto FC 2,2024-06-10 01:00:00,1.87,4.25,3.25
La Luz,Plaza Colonia,2024-06-10 01:30:00,3.1,2.97,2.33
Minnesota 2,North Texas,2024-06-10 02:00:00,2.57,3.6,2.43
Portland Timbers 2,Ventura County,2024-06-10 02:00:00,2.52,3.9,2.35
Vancouver Whitecaps 2,Los Angeles FC 2,2024-06-10 03:00:00,2.53,3.7,2.41
Arizona Monsoon,Capo,2024-06-10 03:00:00,2.61,3.45,2.41
Irvine Zeta,LA Force,2024-06-10 04:00:00,2.43,3.25,2.71
Oakleigh Cannons,Dandenong City,2024-06-10 07:00:00,1.29,5.5,8.25
Somalia,Botswana,2024-06-10 15:00:00,7.2,3.8,1.54
Equatorial Guinea,Malawi,2024-06-10 15:00:00,1.65,3.6,6.0
Sud America,Club Oriental De Futbol,2024-06-10 15:00:00,3.0,3.0,2.34
Vitoria Setubal,Amarante,2024-06-10 17:00:00,2.6,3.05,2.65
Benin,Nigeria,2024-06-10 18:00:00,5.0,3.25,1.84
Guinea Bissau,Egypt,2024-06-10 18:00:00,5.0,3.4,1.8
Uganda,Algeria,2024-06-10 18:00:00,4.6,3.3,1.88
Czech Republic,North Macedonia,2024-06-10 18:00:00,1.47,4.33,6.7
Balkan,IFK Hassleholm,2024-06-10 19:00:00,1.59,4.05,4.7
Deportivo Espanol,Club Lujan,2024-06-10 20:00:00,2.23,2.84,3.45
Claypole,Mercedes,2024-06-10 20:00:00,1.8,3.25,4.45
CSR Espanol,El Porvenir,2024-06-10 20:00:00,2.32,3.0,3.05
Netherlands,Iceland,2024-06-10 20:45:00,1.19,7.0,15.0
