home,away,kickOffTime,leagueName,odds_1,odds_x,odds_2
Barbados,Haiti,2024-06-09 23:00:00,Kvalifikacije SP 2026 CONCACAF,33,11.5,1.05
Grenada,Costa Rica,2024-06-09 23:00:00,Kvalifikacije SP 2026 CONCACAF,24,9.2,1.1
CA Cerro,Nacional De Football,2024-06-09 23:00:00,Urugvaj 1 Intermedio,5.85,3.6,1.57
Palmeiras Wom.,Corinthians Wom.,2024-06-09 23:30:00,Brazil 1 W,4,4,1.7
America MG,Ponte Preta,2024-06-09 23:30:00,Brazil 2,1.45,4.05,6.8
Maringa FC,Internacional de Limeira,2024-06-09 23:30:00,Brazil 4,2.05,3.05,3.4
Nautico,SER Caxias,2024-06-10 00:00:00,Brazil 3,1.9,3.1,4.2
Remo,Sao Bernardo,2024-06-10 00:00:00,Brazil 3,2.7,3,2.65
York Utd,Vancouver FC,2024-06-10 00:00:00,Kanada Premijer Liga,2.2,3.55,2.85
Kansas City Current Wom.,Reign Wom.,2024-06-10 00:00:00,USA NWSL W,1.43,4.35,6.45
Long Island,Hudson Valley,2024-06-10 00:00:00,USA USL 3,1.88,3.9,3.35
Atenas,Montevideo City,2024-06-10 00:00:00,Urugvaj 2,5.15,3.5,1.65
Democrata SL,Itabuna,2024-06-10 00:30:00,Brazil 4,3.4,3.15,2
Weston,Sarasota Paradise,2024-06-10 00:30:00,USA USL 3,2.2,3.15,3.2
Bermuda,Honduras,2024-06-10 01:00:00,Kvalifikacije SP 2026 CONCACAF,13,6.95,1.19
Argentina,Ecuador,2024-06-10 01:00:00,Prijateljski mečevi,1.53,3.95,6.45
Leones Del Norte,Gualaceo,2024-06-10 01:00:00,Ekvador 2,2.4,2.8,3.15
New York Red Bulls 2,Toronto FC II,2024-06-10 01:00:00,USA MLS Next Pro,1.85,4.15,3.25
Birmingham Legion FC,Indy Eleven,2024-06-10 01:00:00,USA USL 1,2,3.65,3.25
La Luz,Plaza Colonia,2024-06-10 01:30:00,Urugvaj 2,2.9,3,2.45
Minnesota 2,North Texas,2024-06-10 02:00:00,USA MLS Next Pro,2.6,3.6,2.35
Portland Timbers 2,Ventura County,2024-06-10 02:00:00,USA MLS Next Pro,2.6,3.75,2.3
Vancouver Whitecaps 2,Los Angeles FC II,2024-06-10 03:00:00,USA MLS Next Pro,2.55,3.7,2.35
Arizona Monsoon,Capo,2024-06-10 03:00:00,USA NISA,2.7,3.35,2.4
Birmingham Legion FC 2,Athens United,2024-06-10 03:30:00,USA USL 3,2.28,3.3,2.9
Irvine Zeta,LA Force,2024-06-10 04:00:00,USA NISA,2.45,3.2,2.7
Oakleigh Cannons,Dandenong City,2024-06-10 07:00:00,Australija NPL Viktorija,1.31,5.35,7.5
Kingborough Lions,Glenorchy Knights,2024-06-10 08:00:00,Australija Kup Kvalifikacije,3,3.95,2
Equatorial Guinea,Malawi,2024-06-10 15:00:00,Kvalifikacije SP 2026 Afrika,1.6,3.7,5.8
Somalia,Botswana,2024-06-10 15:00:00,Kvalifikacije SP 2026 Afrika,6.8,3.9,1.52
Madagascar,Mali,2024-06-10 15:00:00,Kvalifikacije SP 2026 Afrika,6.1,3.55,1.62
Sud America,Club Oriental De Futbol,2024-06-10 15:00:00,Urugvaj 2,2.95,3.05,2.38
Benin,Nigeria,2024-06-10 18:00:00,Kvalifikacije SP 2026 Afrika,4.65,3.3,1.83
Guinea Bissau,Egypt,2024-06-10 18:00:00,Kvalifikacije SP 2026 Afrika,4.85,3.55,1.75
Uganda,Algeria,2024-06-10 18:00:00,Kvalifikacije SP 2026 Afrika,4.65,3.4,1.8
Czech Republic,North Macedonia,2024-06-10 18:00:00,Prijateljski mečevi,1.48,4.35,6.4
ES Setif,Paradou,2024-06-10 18:00:00,Alžir 1,1.73,3.3,4.85
Khenchela,Magra,2024-06-10 18:00:00,Alžir 1,1.67,3.5,5
Moldova U19,Azerbaijan U19,2024-06-10 18:30:00,Prijateljski Mečevi U19,2.4,3.4,2.65
Valerenga 2,Follo,2024-06-10 19:00:00,Norveška 3/2,4.3,4.55,1.58
Start 2,Vindbjart,2024-06-10 19:00:00,Norveška 4/2,2.8,4.25,2.03
Oppsal,Mjondalen 2,2024-06-10 19:00:00,Norveška 4/3,1.35,5.6,5.9
FBK Balkan,IFK Haessleholm,2024-06-10 19:00:00,Švedska 4 Jug Gotaland,1.65,3.9,4.4
CSR Espanol,El Porvenir,2024-06-10 20:00:00,Argentina 4 Apertura,2.42,3.05,2.9
Claypole,Mercedes,2024-06-10 20:00:00,Argentina 4 Apertura,1.82,3.3,4.3
